district,dem,rep,independent,independent party,incumbent
16,Robert Matzie,,,,D
19,Jake Wheatley Jr.,,,,D
20,Adam Ravenstahl,,,,D
21,Sara Innamorato,,,,
23,Dan Frankel,,Jay Ting Walker,G,D
24,Edward Gainey,,,,D
25,Brandom Markosek,Stephen Schlauch,,,
27,Daniel Deasy Jr.,,,,D
28,Emily Skopov,Mike Turzai,,,R
30,Elizabeth Monroe,Hal English,Lori Mizgorski,R,R
32,Anthony DeLuca,,,,D
33,Frank Dermody,Joshua Nulph,,,D
34,Summer Lee,,,,
35,Austin Davis,,,,D
36,Harry Readshaw III,,,,D
38,William Kortz II,,,,D
39,Robert Rhoderick Jr.,Michael Puskaric,,,
40,Sharon Guidi,Natalie Mihalek Stuck,,,
42,Dan Miller,,,,D
44,Michele Knoll,Valerie Gaydos,,,
45,Anita Astorino Kulik,,,,D
46,Byron Timmins,Jason Ortitay,,,R
54,Jonathan McCabe,Robert Brooks,,,
